word,frequency,transcription,si_no
time,12517909,13,n
people,8040341,995,n
way,6950420,,n
years,6067492,40,n
life,5979519,58,n
New,5677220,2,n
work,5377995,47,n
system,5288078,0013,n
number,4700010,2394,n
part,4682778,941,s
example,4610540,395,n
women,4608325,32,n
world,4569472,451,n
man,4426258,32,n
case,4334492,70,n
information,4260776,284312,n
children,4209560,65142,n
state,4169958,011,n
day,3934039,1,n
University,3804804,29401,n
process,3788150,94700,n
place,3701801,957,n
men,3681471,32,n
order,3599109,414,n
power,3594270,94,n
God,3579267,61,n
use,3578965,0,n
data,3545888,11,n
family,3463205,835,n
York,3405531,47,n
group,3290369,649,n
J.,3261760,6,n
point,3249863,921,n
government,3246957,6942321,n
development,3243711,1959321,n
water,3229420,14,s
fact,3201347,871,n
Figure,3050818,864,n
year,3031090,4,n
form,3020574,843,n
home,2987339,3,n
others,2977307,140,n
Press,2977145,9400,n
end,2960829,21,n
law,2946158,5,n
something,2924596,03126,n
hand,2883879,21,s
person,2832646,9402,n
body,2819580,91,s
things,2804375,1260,n
value,2751678,95,n
A.,2747866,,n
level,2736526,595,n
States,2718187,0110,n
United,2689134,211,n
course,2684245,740,n
area,2670490,4,n
John,2614044,62,n
problem,2613831,94953,n
control,2604888,72145,n
book,2584242,97,s
school,2564679,065,n
name,2534656,23,n
words,2513675,410,n
period,2500162,941,n
London,2495413,5212,n
history,2483984,014,n
U.S.,2482280,0,n
business,2480933,90200,n
study,2430456,011,n
M.,2406629,3,n
sense,2383488,020,n
problems,2379993,949530,n
terms,2355148,1430,n
head,2331706,1,n
side,2328104,01,s
research,2321313,4047,n
times,2318004,130,n
students,2313946,011210,n
nature,2308073,214,n
model,2301283,315,n
role,2284139,45,n
child,2281345,651,n
country,2273701,7214,n
days,2271664,10,n
language,2261628,5266,n
interest,2243530,21401,n
groups,2223343,6490,n
effect,2222012,8871,n
line,2215648,52,n
question,2205093,7012,n
analysis,2198185,2500,n
policy,2177873,957,n
members,2172716,33940,n
view,2160834,9,n
knowledge,2159162,72516,n
community,2149903,73321,n
woman,2117115,32,n
rate,2114686,41,n
house,2111154,0,s
position,2108465,9012,n
room,2103806,43,s
action,2088610,712,n
century,2072099,7214,n
cases,2067190,700,n
eyes,2051589,0,n
death,2049785,11,n
experience,2037356,9427,n
type,2022293,19,n
market,2007129,3471,n
systems,2002699,00130,n
war,1985163,4,n
mother,1984724,314,n
change,1974422,626,n
results,1970019,40510,n
R.,1964648,4,n
class,1964498,7500,n
result,1958261,4051,n
percent,1956192,94721,n
society,1941693,071,n
education,1935615,1712,n
changes,1930944,6260,n
service,1918961,0497,n
kind,1917427,721,n
money,1907508,32,n
conditions,1907453,721120,n
age,1894419,6,n
evidence,1885997,9127,n
theory,1885960,14,n
company,1885282,7392,n
function,1874286,82712,n
support,1871988,09941,n
areas,1863807,40,n
nothing,1860785,2126,n
health,1852718,51,n
relationship,1852610,451269,n
structure,1845168,014714,n
father,1835789,814,n
mind,1834255,321,n
S.,1829755,0,n
land,1826148,521,s
C.,1823727,7,n
production,1818507,941712,n
care,1815240,74,n
thing,1799312,126,n
values,1792954,950,n
face,1789241,87,s
field,1786981,851,s
night,1781222,261,n
rights,1776555,4610,n
D.,1775191,1,n
word,1758708,41,n
