word,frequency,code,nothing
parte,1717911, 941,
años,1659464, 20,
vez,1307460, 80,
vida,1272518, 81,
tiempo,1188278, 139,
»,1172842, ,
forma,1135706, 843,
México,1117805, 367,
caso,1060255, 70,
trabajo,1014045, 1496,
Estado,973127, 011,
país,912647, 90,
lugar,872862, 564,
mundo,872632, 321,
año,852070, 2,
manera,848501, 324,
desarrollo,827706, 104,
sistema,774946, 0013,
proceso,773558, 9400,
«,760645, ,
embargo,741848, 3946,
gobierno,730718, 6942,
día,730048, 1,
San,721602, 02,
siglo,703768, 065,
relación,701970, 4502,
historia,683634, 014,
hombre,665861, 394,
sociedad,649955, 0011,
obra,649361, 94,
sentido,640356, 0211,
momento,639671, 3321,
ejemplo,634279, 6395,
ciudad,627764, 011,
José,627345, 60,
p,612435, 9,
Juan,602779, 62,
personas,602413, 94020,
tipo,599205, 19,
poder,596958, 914,
través,596445, 1480,
mujeres,577205, 3640,
países,577127, 900,
España,566626, 092,
fin,565598, 82,
número,559758, 234,
punto,556001, 921,
derecho,551246, 146,
the,546662, 1,
modo,545872, 31,
situación,544244, 0102,
cambio,538064, 739,
política,536757, 9517,
Estados,534971, 0110,
realidad,528436, 4511,
Madrid,518520, 3141,
información,518380, 284302,
población,517462, 99502,
veces,515302, 800,
casa,509578, 70,
días,508750, 10,
nivel,504666, 285,
pp,496537, 99,
hombres,488822, 3940,
producción,488514, 941702,
grupo,486642, 649,
hecho,475963, 6,
acuerdo,474446, 741,
recursos,471865, 47400,
mujer,466818, 364,
pueblo,462593, 995,
cosas,455422, 700,
ley,454734, 5,
condiciones,453929, 721020,
Dios,453103, 10,
artículo,450624, 4175,
lado,449118, 51,
medio,448710, 31,
derechos,439964, 1460,
mercado,434448, 3471,
orden,434386, 412,
Ley,433157, 5,
casos,431437, 700,
servicios,424895, 04800,
América,424719, 347,
Universidad,424223, 284011,
problemas,423403, 949530,
estado,423203, 011,
libro,420622, 594,
relaciones,420474, 45020,
nombre,420011, 2394,
base,415458, 90,
educación,412870, 1702,
I,410168, ,
cultura,408311, 7514,
grupos,402823, 6490,
valor,402729, 854,
acción,402631, 702,
Unidos,401820, 210,
tierra,400136, 14,
estudio,399925, 011,
uso,399789, 0,
carácter,399670, 74714,
agua,395378, 6,
sector,392194, 0714,
respecto,391970, 40971,
muerte,390509, 341,
problema,390308, 94953,
guerra,385172, 64,
María,377846, 34,
empresas,376061, 39400,
efecto,373254, 871,
análisis,369317, 2500,
proyecto,369258, 9471,
millones,365229, 320,
actividades,360203, 718110,
persona,359158, 9402,
II,358278, ,
cuerpo,357365, 749,
cuenta,356985, 721,
familia,355685, 835,
actividad,355470, 71811,
interés,354768, 2140,
mayoría,350913, 34,
razón,350200, 402,
participación,349744, 9410902,
República,349343, 49957,
tema,348697, 13,
Luis,348286, 50,
gente,344684, 621,
época,344356, 97,
Carlos,343847, 7450,
The,343736, 1,
fuerza,343142, 840,
formas,342051, 8430,
medida,341893, 311,
and,341164, 21,
capital,340847, 7915,
palabras,340800, 95940,
espacio,338657, 090,
necesidad,337852, 20011,
economía,335756, 723,
investigación,334936, 2801602,
capacidad,328688, 79011,
obras,328492, 940,
datos,328036, 110,
importancia,327802, 394120,
Francisco,327710, 842007,
papel,327330, 995,
Gobierno,327154, 6942,
principio,324811, 94209,
control,324282, 72145,
organización,323347, 462002,
campo,322475, 739,
naturaleza,322330, 21450,
conocimiento,322058, 720321,
libertad,321742, 59411,
idea,319845, 1,
presencia,316228, 94020,
texto,315770, 101,
Aires,315621, 40,
vista,315496, 801,
autor,314188, 14,
elementos,313535, 53210,
crecimiento,312164, 740321,
empresa,311564, 3940,
función,310988, 8202,
calidad,307620, 7511,
objeto,307619, 961,
amor,306999, 34,
verdad,305754, 8411,
mano,305598, 32,
términos,302070, 14320,
medios,301740, 310,
modelo,301333, 315,
instituciones,300803, 2011020,
movimiento,300450, 38321,
Antonio,298893, 212,
padre,298225, 914,
estudios,296836, 0110,
servicio,296118, 0480,
experiencia,294663, 09420,
región,294076, 462,
atención,293763, 1202,
noche,293656, 26,
niños,292059, 220,
J.,292026, 6,
Chile,291173, 65,
conjunto,291003, 72621,
salud,290454, 051,
A,287651, ,
A.,286637, ,
estructura,284543, 014714,
materia,284185, 314,
acciones,283579, 7020,
crisis,282677, 7400,
existencia,282358, 60120,
construcción,280955, 72014702,
horas,280499, 40,
Historia,280228, 014,
clase,279158, 750,
comunidad,278986, 73211,
miembros,278420, 33940,
cosa,278146, 70,
partes,278119, 9410,
presidente,276999, 940121,
origen,276357, 462,
valores,275031, 8540,
productos,274479, 941710,
palabra,273158, 9594,
procesos,272249, 94000,
efectos,271509, 8710,
resultados,270954, 405110,
formación,270819, 84302,
Santa,270138, 021,
intereses,268866, 21400,
bienes,268564, 920,
resultado,268366, 40511,
Manuel,267292, 325,
señor,266340, 024,
Pedro,265355, 914,
camino,264302, 732,
Argentina,263221, 46212,
of,262853, 8,
hijos,262843, 60,
período,262198, 941,
Comisión,261233, 7302,
concepto,260072, 72091,
ojos,257460, 60,
aspectos,256369, 09710,
meses,254885, 300,
Presidente,254869, 940121,
cambios,254532, 7390,
manos,254245, 320,
centro,253640, 0214,
Consejo,253209, 7206,
fecha,253007, 86,
frente,252370, 8421,
falta,252189, 851,
políticas,251328, 95170,
paso,251175, 90,
posibilidad,250954, 909511,
apoyo,250316, 9,
trabajadores,250173, 1496140,
principios,249463, 942090,
madre,248989, 314,
pueblos,248636, 9950,
arte,248432, 41,
seguridad,245268, 06411,
sectores,244644, 07140,
comunicación,244441, 732702,
zona,244323, 02,
luz,243646, 50,
imagen,242071, 362,
consecuencia,241748, 720720,
Instituto,240645, 20111,
edad,240270, 11,
Congreso,240256, 72640,
creación,239851, 7402,
M.,239229, 3,
programa,238949, 94643,
ideas,238606, 10,
Constitución,236920, 7201102,
pensamiento,235404, 920321,
causa,235347, 70,
cargo,235178, 746,
características,232916, 747140170,
régimen,232432, 4632,
partido,231869, 9411,
Perú,231257, 94,
serie,230278, 04,
posición,229024, 9002,
programas,228991, 946430,
comercio,225983, 7340,
cuestión,224331, 7012,
lucha,222608, 56,
propiedad,221676, 94911,
b,221644, 9,
Santiago,221215, 0216,
García,220671, 640,
futuro,219963, 814,
grado,218450, 641,
administración,218405, 13201402,
justicia,217560, 6010,
hijo,217307, 6,
duda,217040, 11,
niveles,216815, 2850,
sistemas,216731, 00130,
literatura,216641, 51414,
voz,216294, 80,
diferencia,216255, 18420,
cantidad,214896, 72111,
respuesta,214063, 40901,
ejercicio,213740, 6400,
conciencia,213509, 72020,
plazo,213313, 950,
medidas,213232, 3110,
ciento,212504, 021,
Europa,212105, 49,
libros,211870, 5940,
expresión,211413, 09402,
fuerzas,211309, 8400,
contexto,210791, 72101,
Iglesia,209931, 650,
práctica,209913, 94717,
área,209377, 4,
marco,208484, 347,
N,208046, 2,
leyes,207178, 50,
discurso,206712, 10740,
aplicación,206259, 95702,
cabeza,205751, 790,
dinero,205387, 124,
normas,205235, 2430,
ámbito,205066, 391,
tierras,204517, 140,
territorio,204439, 1414,
Barcelona,203700, 94052,
favor,203137, 884,
trabajos,203041, 14960,
objetivo,202902, 9618,
visión,202531, 802,
producto,202159, 94171,
proyectos,201358, 94710,
autoridades,201262, 14110,
hora,200974, 4,
término,200706, 1432,
Miguel,200402, 365,
III,199975, ,
Ministerio,199222, 32014,
funciones,199184, 82020,
referencia,198790, 48420,
teoría,197289, 14,
figura,196806, 864,
necesidades,196127, 200110,
partidos,195458, 94110,
mes,195025, 30,
Colombia,194685, 7539,
democracia,194578, 13740,
lenguaje,194499, 5266,
condición,194360, 72102,
opinión,193979, 922,
áreas,193725, 40,
línea,193349, 52,
reforma,193119, 4843,
hechos,192899, 60,
fines,192775, 820,
organizaciones,192348, 4620020,
temas,191852, 130,
a,191404, ,
C.,191022, 7,
c,190847, 7,
Federal,190805, 8145,
acto,190763, 71,
dirección,190487, 14702,
empleo,190283, 395,
voluntad,190186, 85211,
autoridad,189851, 1411,
década,189748, 171,
inversión,188981, 28402,
Latina,188718, 512,
fondo,188436, 821,
n,187947, 2,
demanda,186725, 1321,
identidad,186345, 12111,
lengua,186088, 526,
Banco,185844, 927,
ambiente,185675, 3921,
puntos,185540, 9210,
unidad,185519, 211,
cit,183322, 01,
Derecho,183151, 146,
