word,frequency,transcription,si_no
años,1659464,20,n
vida,1272518,81,n
»,1172842,,Error
parte,1717911,941,n
vez,1307460,80,n
tiempo,1188278,139,n
forma,1135706,843,n
caso,1060255,70,n
México,1117805,367,n
trabajo,1014045,1496,n
lugar,872862,564,n
Estado,973127,011,n
país,912647,90,n
mundo,872632,321,n
año,852070,2,n
desarrollo,827706,104,n
«,760645,,Error
manera,848501,324,n
sistema,774946,0013,n
proceso,773558,9400,n
embargo,741848,3946,n
gobierno,730718,6942,n
día,730048,1,n
San,721602,02,n
siglo,703768,065,n
historia,683634,014,n
hombre,665861,394,n
relación,701970,4502,n
sociedad,649955,0011,n
sentido,640356,0211,n
momento,639671,3321,n
ejemplo,634279,6395,n
obra,649361,94,n
ciudad,627764,011,n
p,612435,9,n
José,627345,60,n
Juan,602779,62,n
personas,602413,94020,n
tipo,599205,19,n
través,596445,1480,n
poder,596958,914,n
países,577127,900,n
mujeres,577205,3640,n
España,566626,092,n
fin,565598,82,n
número,559758,234,n
punto,556001,921,n
derecho,551246,146,n
the,546662,1,n
situación,544244,0102,n
modo,545872,31,n
política,536757,9517,n
Estados,534971,0110,n
realidad,528436,4511,n
cambio,538064,739,n
información,518380,284302,n
población,517462,99502,n
veces,515302,800,n
casa,509578,70,s
días,508750,10,n
nivel,504666,285,s
pp,496537,99,n
hombres,488822,3940,n
producción,488514,941702,n
grupo,486642,649,n
hecho,475963,6,n
acuerdo,474446,741,n
recursos,471865,47400,n
pueblo,462593,995,n
mujer,466818,364,n
cosas,455422,700,n
ley,454734,5,n
condiciones,453929,721020,n
Dios,453103,10,n
artículo,450624,4175,n
lado,449118,51,s
medio,448710,31,n
derechos,439964,1460,n
orden,434386,412,n
mercado,434448,3471,s
Ley,433157,5,n
América,424719,347,n
casos,431437,700,n
servicios,424895,04800,n
Universidad,424223,284011,n
problemas,423403,949530,n
libro,420622,594,s
relaciones,420474,45020,n
nombre,420011,2394,n
base,415458,90,s
educación,412870,1702,n
I,410168,,n
cultura,408311,7514,n
grupos,402823,6490,n
valor,402729,854,n
estado,423203,011,n
acción,402631,702,n
Unidos,401820,210,n
tierra,400136,14,s
estudio,399925,011,n
Madrid,518520,3141,n
uso,399789,0,n
agua,395378,6,n
sector,392194,0714,n
respecto,391970,40971,n
carácter,399670,74714,n
muerte,390509,341,n
María,377846,34,n
guerra,385172,64,n
empresas,376061,39400,n
problema,390308,94953,n
efecto,373254,871,n
proyecto,369258,9471,n
análisis,369317,2500,n
millones,365229,320,n
actividades,360203,718110,n
persona,359158,9402,n
II,358278,,n
cuerpo,357365,749,s
familia,355685,835,n
cuenta,356985,721,n
actividad,355470,71811,n
interés,354768,2140,n
razón,350200,402,n
mayoría,350913,34,n
participación,349744,9410902,n
República,349343,49957,n
Luis,348286,50,n
gente,344684,621,n
época,344356,97,n
tema,348697,13,n
Carlos,343847,7450,n
The,343736,1,n
fuerza,343142,840,n
formas,342051,8430,n
medida,341893,311,n
and,341164,21,n
capital,340847,7915,n
palabras,340800,95940,n
espacio,338657,090,n
necesidad,337852,20011,n
investigación,334936,2801602,n
capacidad,328688,79011,n
economía,335756,723,n
datos,328036,110,n
obras,328492,940,n
importancia,327802,394120,n
Francisco,327710,842007,n
papel,327330,995,s
Gobierno,327154,6942,n
control,324282,72145,n
organización,323347,462002,n
campo,322475,739,n
naturaleza,322330,21450,n
principio,324811,94209,n
conocimiento,322058,720321,n
libertad,321742,59411,n
idea,319845,1,n
presencia,316228,94020,n
texto,315770,101,n
autor,314188,14,n
vista,315496,801,n
elementos,313535,53210,n
Aires,315621,40,n
crecimiento,312164,740321,n
empresa,311564,3940,n
función,310988,8202,n
calidad,307620,7511,n
objeto,307619,961,s
amor,306999,34,n
verdad,305754,8411,n
mano,305598,32,s
medios,301740,310,n
términos,302070,14320,n
modelo,301333,315,n
instituciones,300803,2011020,n
movimiento,300450,38321,n
Antonio,298893,212,n
padre,298225,914,n
estudios,296836,0110,n
servicio,296118,0480,n
experiencia,294663,09420,n
atención,293763,1202,n
J.,292026,6,Error
región,294076,462,n
noche,293656,26,n
niños,292059,220,n
Chile,291173,65,n
A.,286637,,Error
conjunto,291003,72621,n
salud,290454,051,n
estructura,284543,014714,n
materia,284185,314,n
A,287651,,n
acciones,283579,7020,n
crisis,282677,7400,n
existencia,282358,60120,n
construcción,280955,72014702,n
horas,280499,40,n
Historia,280228,014,n
clase,279158,750,n
comunidad,278986,73211,n
miembros,278420,33940,n
partes,278119,9410,n
cosa,278146,70,s
presidente,276999,940121,n
origen,276357,462,n
productos,274479,941710,n
valores,275031,8540,n
palabra,273158,9594,n
procesos,272249,94000,n
resultados,270954,405110,n
efectos,271509,8710,n
formación,270819,84302,n
Santa,270138,021,n
intereses,268866,21400,n
bienes,268564,920,n
resultado,268366,40511,n
Manuel,267292,325,n
señor,266340,024,n
Pedro,265355,914,n
camino,264302,732,n
of,262853,8,n
Argentina,263221,46212,n
hijos,262843,60,n
período,262198,941,n
concepto,260072,72091,n
ojos,257460,60,n
Comisión,261233,7302,n
aspectos,256369,09710,n
meses,254885,300,n
Presidente,254869,940121,n
cambios,254532,7390,n
manos,254245,320,n
Consejo,253209,7206,n
centro,253640,0214,n
frente,252370,8421,n
fecha,253007,86,n
falta,252189,851,n
políticas,251328,95170,n
paso,251175,90,n
posibilidad,250954,909511,n
apoyo,250316,9,n
trabajadores,250173,1496140,n
principios,249463,942090,n
madre,248989,314,n
pueblos,248636,9950,n
arte,248432,41,n
sectores,244644,07140,n
seguridad,245268,06411,n
comunicación,244441,732702,n
luz,243646,50,n
imagen,242071,362,n
zona,244323,02,n
consecuencia,241748,720720,n
Congreso,240256,72640,n
M.,239229,3,Error
Instituto,240645,20111,n
edad,240270,11,n
creación,239851,7402,n
ideas,238606,10,n
programa,238949,94643,n
Constitución,236920,7201102,n
pensamiento,235404,920321,n
cargo,235178,746,n
causa,235347,70,n
características,232916,747140170,n
Perú,231257,94,n
serie,230278,04,n
partido,231869,9411,n
régimen,232432,4632,n
posición,229024,9002,n
programas,228991,946430,n
comercio,225983,7340,n
cuestión,224331,7012,n
lucha,222608,56,n
b,221644,9,n
propiedad,221676,94911,n
Santiago,221215,0216,n
García,220671,640,n
administración,218405,13201402,n
futuro,219963,814,n
grado,218450,641,n
justicia,217560,6010,n
duda,217040,11,n
hijo,217307,6,n
sistemas,216731,00130,n
niveles,216815,2850,n
literatura,216641,51414,n
diferencia,216255,18420,n
voz,216294,80,n
cantidad,214896,72111,n
respuesta,214063,40901,n
plazo,213313,950,n
ejercicio,213740,6400,n
conciencia,213509,72020,n
medidas,213232,3110,n
Europa,212105,49,n
ciento,212504,021,n
expresión,211413,09402,n
libros,211870,5940,n
fuerzas,211309,8400,n
contexto,210791,72101,n
práctica,209913,94717,n
Iglesia,209931,650,n
área,209377,4,n
N,208046,2,n
leyes,207178,50,n
discurso,206712,10740,n
marco,208484,347,s
aplicación,206259,95702,n
cabeza,205751,790,s
dinero,205387,124,n
ámbito,205066,391,n
territorio,204439,1414,n
normas,205235,2430,n
tierras,204517,140,n
Barcelona,203700,94052,n
favor,203137,884,n
trabajos,203041,14960,n
producto,202159,94171,s
objetivo,202902,9618,n
visión,202531,802,n
proyectos,201358,94710,n
autoridades,201262,14110,n
hora,200974,4,n
término,200706,1432,n
Miguel,200402,365,n
funciones,199184,82020,n
Ministerio,199222,32014,n
III,199975,,n
referencia,198790,48420,n
teoría,197289,14,n
figura,196806,864,n
necesidades,196127,200110,n
partidos,195458,94110,n
mes,195025,30,n
democracia,194578,13740,n
Colombia,194685,7539,n
lenguaje,194499,5266,n
condición,194360,72102,n
opinión,193979,922,n
línea,193349,52,n
áreas,193725,40,n
reforma,193119,4843,n
hechos,192899,60,n
organizaciones,192348,4620020,n
C.,191022,7,Error
fines,192775,820,n
temas,191852,130,n
c,190847,7,n
a,191404,,n
Federal,190805,8145,n
acto,190763,71,n
dirección,190487,14702,n
empleo,190283,395,n
voluntad,190186,85211,n
autoridad,189851,1411,n
década,189748,171,n
inversión,188981,28402,n
Latina,188718,512,n
fondo,188436,821,s
identidad,186345,12111,n
demanda,186725,1321,n
n,187947,2,n
lengua,186088,526,n
puntos,185540,9210,n
Banco,185844,927,s
unidad,185519,211,n
cit,183322,01,n
Derecho,183151,146,n
ambiente,185675,3921,n
industria,182914,21014,n
acceso,182755,700,n
paz,182849,90,n
Centro,182573,0214,n
objetivos,182623,96180,n
artículos,182423,41750,n
tiempos,181528,1390,n
resto,181603,401,n
razones,180351,4020,n
responsabilidad,180180,409209511,n
autores,180117,140,n
°,177718,,Error
perspectiva,179794,9409718,n
factores,179662,87140,n
contenido,177375,72121,n
distribución,178303,1014902,n
espíritu,177204,0941,n
